Form,Translation,Base_Lexeme,Translation_es
suj+ta,urinate,suku-urine,orinar
kaimo+ta,hunt,kaimo-game,cazar
mëtë+ta,thin,mete-thin,enflaquecer
yoko+ta,grow pimple,yoko-pimple,formarse espinilla
yerepun+ta,become sick,yerepunu-sick,enfermarse
werey+ta,cloud over,wereyi-cloud,nublarse
wanapu+ta,grow savannah grass,wanapu-savannah,crecer muchas hierbas en la sabana
sakau+ta,get sandy,sakau-sand,enarenarse
roko+ta,become crazy,roko-crazy,volverse loco
pun+ta,form pulp,punu-flesh,formarse pulpa
pikë+ta,fart,pike-fart,echar pedo
pichipichi+ta,form whitebait,pichipichi-whitebait,formarse una morralla
naki+ta,be thirsty,naki-thirst,tener sed
muku+ta,have son,muku-child,tener hijo
moto+ta,fill with worms,moto-worm,llenarse de lombrices
moron+ta,hurt,moroni-pain,doler
mesuj+ta,bleed,mesuku-blood,sangrar
kërë+ta,ripen,kere-ripeness,ennegrecerse; madurar (frutas del seje)
këmu+ta,emit pus,kemu-pus,formarse pus; infectarse con pus
konopo+ta,start rainy season,konopo-rain,comenzar la temporada de lluvias
kawono+ta,get high,kawono-high,ponerse alto
kampara+ta,grow; change (voice),kampara-big,"agrandarse, mudar (voz)"
chëkëy+ta,fill with nits,chekey-nit,llenarse de liendres
chimichimi+ta,fill with worms (dog),chimichimi-worm-dog,engusanarse
chikë+ta,get chiggers,chike-chigger,llenarse de nigua
awochi+ta,form tumor,awochi-tumor,formarse tumor
asere+ta,have dry cough,asere-dry-cough,enfermarse de tuberculosis; tener una tos seca
aijkorono+ta,recover,aijkorono-recovered,"mejorar de salud, mejorarse"
ajpachi+ta,overgrows,ajpachi-undergrowth,enmalezarse
akï+ta,fill with worms,aki-worm,"formarse gusano, miasis, llenarse de gusanos"
api+ta,ripen,api-ripeness,madurar
